time,d_delta_x,d_delta_y,d_delta_z,delta_x,delta_y,delta_z
0.0,-0.6265756344170643,-0.19642698457039082,-0.2730378199238196,-0.006265756344170643,-0.001964269845703908,-0.002730378199238196
0.01,-0.6096157032009482,-0.19103415854807282,-0.2655676416961782,-0.012361913376180124,-0.0038746114311846366,-0.005386054616199978
0.02,-0.5934940428204443,-0.1858701051596206,-0.25842707242739366,-0.018296853804384568,-0.005733312482780842,-0.007970325340473913
0.03,-0.5784791887636597,-0.17997850980553928,-0.24613744592662679,-0.024081645692021165,-0.007533097580836235,-0.010431699799740181
0.04,-0.5635191199099687,-0.17518465788742832,-0.2396278961684124,-0.029716836891120854,-0.009284944159710519,-0.012827978761424306
0.05,-0.5490589351346679,-0.1705422015873113,-0.23332619865520057,-0.03520742624246753,-0.010990366175583632,-0.015161240747976312
0.06,-0.5355127120725416,-0.1645795839765941,-0.2154071298883157,-0.04056255336319295,-0.012636162015349573,-0.01731531204685947
0.07,-0.5219407951023786,-0.1602532666996225,-0.20979260360197097,-0.04578196131421673,-0.014238694682345798,-0.019413238082879182
0.08,-0.5087810025162974,-0.15605466447620508,-0.2043438455530033,-0.050869771339379706,-0.01579924132710785,-0.021456676538409214
0.09,-0.49601272155809095,-0.15197830849268767,-0.19905367304950947,-0.055829898554960615,-0.017319024412034728,-0.02344721326890431
0.1,-0.4837574388947372,-0.14657484326896997,-0.1302361876863371,-0.06066747294390799,-0.018784772844724427,-0.024749575145767682
0.11,-0.47171597026270473,-0.14276608009536512,-0.12688213560831213,-0.06538463264653503,-0.02021243364567808,-0.026018396501850803
0.12,-0.46001673609281946,-0.13906479921806142,-0.12362005298971389,-0.06998480000746322,-0.021603081637858693,-0.027254597031747943
0.13,-0.44825045360354915,-0.13360547779661675,-0.06594047923914488,-0.07446730454349872,-0.02293913641582486,-0.027914001824139393
0.14,-0.43720555733767086,-0.1301559152739009,-0.06424993412739582,-0.07883936011687542,-0.02424069556856387,-0.02855650116541335
0.15,-0.42646464095586045,-0.1268016061474624,-0.06260405269937062,-0.08310400652643403,-0.025508711630038493,-0.029182541692407058
0.16,-0.4160167537014434,-0.12353940392516284,-0.06100157019954841,-0.08726417406344847,-0.02674410566929012,-0.029792557394402543
0.17,-0.3822077650761718,-0.11197218106177265,0.06506252723362246,-0.09108625171421018,-0.027863827479907847,-0.029141932122066318
0.18,-0.3728913064255997,-0.10910049428489565,0.06339830881630573,-0.09481516477846619,-0.0289548324227568,-0.02850794903390326
0.19,-0.3638221783467901,-0.10630627447735547,0.06177540822543131,-0.09845338656193409,-0.030017895167530357,-0.027890194951648947
0.2,-0.3010191501872944,-0.08587667969663196,0.0023370004937063316,-0.10146357806380703,-0.030876661964496677,-0.027866824946711884
0.21,-0.2937272242306893,-0.08368259888145008,0.0022771076471074653,-0.10440085030611392,-0.03171348795331118,-0.02784405387024081
0.22,-0.2866236220478655,-0.08154667253732548,0.00221874807680357,-0.10726708652659257,-0.032528954678684434,-0.027821866389472774
0.23,-0.25674601227313115,-0.07109591091734875,-0.02631024642308212,-0.10983454664932388,-0.03323991378785792,-0.028084968853703596
0.24,-0.25055554824149,-0.06928450494526475,-0.0256360274446851,-0.11234010213173878,-0.03393275883731057,-0.028341329128150447
0.25,-0.2445224065887333,-0.0675206192584016,-0.024979295467582305,-0.11478532619762612,-0.034607965029894584,-0.02859112208282627
0.26,-0.17275381625227892,-0.04113287515021731,-0.03353133646991392,-0.1165128643601489,-0.03501929378139676,-0.02892643544752541
0.27,-0.16860385676079548,-0.040087084424605735,-0.03267291667906723,-0.11819890292775687,-0.03542016462564282,-0.029253164614316082
0.28,-0.16455709884038316,-0.039068325080028915,-0.03183680679874,-0.1198444739161607,-0.035810847876443105,-0.029571532682303482
0.29,-0.16061078073560264,-0.03807587322238801,-0.031022407899491747,-0.12145058172351672,-0.036191606608666986,-0.029881756761298398
0.3,-0.09490284834255469,-0.013959165958412054,-0.002413688684530818,-0.12239961020694226,-0.036331198268251104,-0.029905893648143705
0.31,-0.09263022694839745,-0.013604802439779462,-0.0023519808091553573,-0.12332591247642624,-0.0364672462926489,-0.02992941345623526
0.32,-0.09041305260190646,-0.013259484420926212,-0.002291852236981279,-0.1242300430024453,-0.036599841136858165,-0.029952331978605074
0.33,-0.03192559858396243,0.00828010652256142,0.03492535052639145,-0.12454929898828493,-0.03651704007163255,-0.02960307847334116
0.34,-0.03116200680413811,0.008069975166418136,0.0340323333353206,-0.1248609190563263,-0.03643634031996837,-0.029262755139987953
0.35000000000000003,-0.030416793158517197,0.007865159057719381,0.03316179329622261,-0.12516508698791148,-0.03635768872939117,-0.028931137207025726
